repository,issue_id,title,state,created_at,closed_at,labels
bitwarden/mobile,3470,Bitwarden doesn't create credentials even when suggesting it,closed,2025-04-12T07:57:04Z,2025-05-06T19:15:35Z,bug
bitwarden/mobile,3469,"Cannot edit long password, can't scroll to the end of the field",closed,2025-04-07T09:47:11Z,2025-05-06T19:34:59Z,bug
bitwarden/mobile,3468,New iphone can't connect to bitwarden.eu,closed,2025-04-01T17:25:40Z,2025-04-01T17:28:42Z,bug
bitwarden/mobile,3467,Android app using wrong language,closed,2025-02-16T04:36:48Z,2025-05-06T19:40:14Z,bug
bitwarden/mobile,3465,Accessibly service not recognised as being enabled in the app,closed,2025-02-11T07:01:46Z,2025-05-06T19:50:27Z,bug
bitwarden/mobile,3464,Android mobile app capitalised entries not in alphabetical order,closed,2025-02-09T19:10:45Z,2025-05-06T20:24:26Z,bug
bitwarden/mobile,3460,Bitwarden Latest Version 2025.1.0,closed,2025-01-14T17:18:01Z,2025-01-15T12:48:17Z,bug
bitwarden/mobile,3459,Wrong URI match detection for TOTP auto fill,closed,2025-01-09T09:49:59Z,2025-05-06T20:39:49Z,bug
bitwarden/mobile,3458,"Password doesn't show ""less than"" sign when viewing item",closed,2025-01-09T09:12:46Z,2025-01-10T11:04:23Z,bug
bitwarden/mobile,3453,Self hosted unable to connect ,closed,2025-01-05T16:38:18Z,2025-05-06T20:39:52Z,bug
bitwarden/mobile,3452,YouTube Music Radio Search/Playlist Edit getting mistaken as a Verification Code input,closed,2025-01-02T02:12:43Z,2025-05-06T20:39:55Z,bug
bitwarden/mobile,3451,New logins take a while to be reflected in the iOS App,closed,2024-12-29T16:25:12Z,2025-05-06T20:39:58Z,bug
bitwarden/mobile,3450,Can't create Bitwarden account passkey for iPhone from Windows PC,closed,2024-12-28T07:19:04Z,2025-05-06T20:40:02Z,bug
bitwarden/mobile,3449,Android app won't show password correctly when # is present,closed,2024-12-24T10:58:03Z,2025-05-06T20:40:05Z,bug
bitwarden/mobile,3444,id.me website can't use Bitwarden's passkey,closed,2024-12-02T03:28:47Z,2025-05-06T20:40:09Z,bug
bitwarden/mobile,3441,Don't open Mull or Fennec browsers when doing FIDO auth,closed,2024-11-21T09:59:52Z,2025-05-06T20:40:12Z,bug
bitwarden/mobile,3440,Fdroid repo doesn't have the right version numbers,closed,2024-11-21T09:51:33Z,2025-05-06T20:40:15Z,bug
bitwarden/mobile,3437,Passkey support on native Android app,closed,2024-11-06T10:45:03Z,2024-11-10T22:49:29Z,bug
bitwarden/mobile,3433,Bitwarden App won't open after update,closed,2024-10-30T17:30:03Z,2024-10-30T18:05:18Z,bug
bitwarden/mobile,3432,X/twitter search autofill,closed,2024-10-29T23:08:12Z,2025-05-06T20:40:19Z,bug
bitwarden/mobile,3429,Autofill opened from keyboard stuck in loading entry,closed,2024-10-22T11:12:12Z,2025-05-06T20:40:22Z,bug
bitwarden/mobile,3428,Wrong password displayed in Android App,closed,2024-10-20T16:13:19Z,2025-05-06T20:40:25Z,bug
bitwarden/mobile,3425,Improve login with device experience ,closed,2024-10-18T12:36:50Z,2025-05-06T20:40:28Z,bug
bitwarden/mobile,3424,After update again old interace?,closed,2024-10-18T11:26:23Z,2025-05-06T20:40:31Z,bug
bitwarden/mobile,3420,iOS - Settings - Appearance - Language cannot be changed to Chinese,closed,2024-10-13T01:44:22Z,2024-10-14T06:55:58Z,bug
bitwarden/mobile,3419,"Cannot create Passkey on PayPal Mobile Android App (or use existing passkey) through Bitwarden (""asset links"" error)",closed,2024-10-12T16:34:11Z,2025-01-07T22:42:56Z,bug
bitwarden/mobile,3418,Bitwarden Beta can't save Android App‘s password correctly,closed,2024-10-12T13:02:14Z,2024-10-14T00:05:25Z,bug
bitwarden/mobile,3412,"Cannot create Passkey on PayPal Mobile Android App through Bitwarden (""asset links"" error)",closed,2024-10-10T22:11:32Z,2024-10-11T04:53:44Z,bug
