repository,issue_id,title,state,created_at,closed_at,labels
PietsmietApp/pietsmiet_android,92,Fix failing tests,closed,2017-05-17T16:28:57Z,2017-05-21T00:04:25Z,bug
PietsmietApp/pietsmiet_android,90,YT-posts duplicates,closed,2017-05-06T23:40:13Z,2017-05-07T12:16:40Z,bug
PietsmietApp/pietsmiet_android,85,SqlException & OKHttpException - Opened too many files,closed,2017-05-02T07:24:49Z,2017-05-04T09:23:41Z,bug
PietsmietApp/pietsmiet_android,84,Move to youtube playlist api endpoint because of loading inconsistencies,open,2017-05-01T21:34:01Z,,bug
PietsmietApp/pietsmiet_android,82,NullPointerException in updateCurrentPosts,closed,2017-05-01T21:31:43Z,2017-05-06T12:11:42Z,bug
PietsmietApp/pietsmiet_android,81,Prevent OutOfMemoryError ,closed,2017-05-01T21:30:34Z,2017-07-31T14:02:38Z,"bug, waiting"
PietsmietApp/pietsmiet_android,65,Adapter bug: associates images wrong,closed,2017-04-21T23:59:13Z,2017-04-22T12:27:41Z,bug
PietsmietApp/pietsmiet_android,32,Das Laden nach App verlassen beenden | RxJava,closed,2016-12-05T15:08:01Z,2017-04-18T18:13:49Z,bug
PietsmietApp/pietsmiet_android,28,Bilder bei Twitter werden nicht immer angezeigt ,closed,2016-11-26T19:48:14Z,2016-11-27T13:34:31Z,bug
PietsmietApp/pietsmiet_android,22,[BUG] Datum verschwindet,closed,2016-11-20T20:10:59Z,2016-11-22T16:16:33Z,bug
donglua/PhotoPicker,180,Two issues needs to be fixed asap,open,2017-02-21T06:09:29Z,,bug
donglua/PhotoPicker,60,查看图片问题,closed,2016-02-26T00:16:00Z,2016-04-24T14:58:21Z,bug
donglua/PhotoPicker,21,two bugs,closed,2015-07-27T03:02:01Z,2015-07-27T08:12:29Z,bug
donglua/PhotoPicker,19,Folder chooser,closed,2015-07-24T06:36:48Z,2015-07-28T01:35:46Z,bug
donglua/PhotoPicker,15,怎么移植到eclipse中？,closed,2015-07-20T01:09:07Z,2015-07-27T14:20:01Z,"bug, question"
nickfox/GpsTracker,60,Javascipt does not refresh drop down combo box contents,open,2016-05-30T01:17:50Z,,bug
nickfox/GpsTracker,57,Update Adroid app to use latest gradle,closed,2016-05-27T21:51:09Z,2016-05-30T23:19:43Z,bug
nickfox/GpsTracker,47,1 minute setting not working right,open,2016-05-11T15:45:32Z,,bug
nickfox/GpsTracker,35,Wrong time interval on server,open,2015-11-09T09:57:44Z,,bug
makovkastar/FloatingActionButton,41,Inconsistent view when a transparent background color is used ,open,2014-11-01T17:42:43Z,,bug
makovkastar/FloatingActionButton,39,Can't use circular reveal on FAB,closed,2014-10-28T03:19:54Z,2014-12-03T18:32:02Z,bug
makovkastar/FloatingActionButton,25,Appears beneath the empty view,open,2014-10-02T15:48:00Z,,bug
daquexian/chaoli-forum-for-android-2,4,Crash on answering some specific questions,closed,2017-01-02T03:51:08Z,2017-01-16T16:16:46Z,bug
daquexian/chaoli-forum-for-android-2,3,Crash on posting without logging in,closed,2017-01-02T03:47:38Z,2017-01-02T09:26:31Z,bug
PrivacyApps/calendar-import-export,45,Hang when trying to back out of Export filename dialog,closed,2016-05-25T10:03:49Z,2016-05-26T09:13:18Z,bug
PrivacyApps/calendar-import-export,43,no such column: deleted on Android 2.2/2.3,closed,2016-05-21T14:18:26Z,2016-05-25T04:39:58Z,bug
PrivacyApps/calendar-import-export,42,NullPointerException from getDateTime during export,closed,2016-05-20T00:33:11Z,2016-05-23T12:28:40Z,bug
PrivacyApps/calendar-import-export,33,NullPointerException when writing data to file,closed,2016-01-07T18:47:47Z,2016-05-20T06:33:41Z,bug
PrivacyApps/calendar-import-export,11,TimeZoneRegistryImpl NullPointerException,closed,2013-08-10T17:22:15Z,2015-09-07T10:35:55Z,bug
PrivacyApps/calendar-import-export,4,Imported bug: Umlauts are shown as �,closed,2013-04-20T19:14:04Z,2015-09-08T06:19:19Z,bug
Sloy/SeviBus,36,Update database not working in some cases due to ClassCastException,open,2017-06-12T13:47:07Z,,bug
Sloy/SeviBus,20,Bus location is not received,open,2016-05-25T07:28:51Z,,bug
daniel-stoneuk/material-about-library,107,Icons show up as black boxes in 3.1.2 but not 2.4.2 MaterialAboutActionItem Builder,open,2020-07-10T19:46:56Z,,"bug, awaiting confirmation"
daniel-stoneuk/material-about-library,102,AboutFragment: FATAL EXCEPTION,closed,2020-02-29T14:23:12Z,2020-04-20T08:31:47Z,bug
daniel-stoneuk/material-about-library,89,Issue with LTR text on RTL devices,open,2018-11-06T18:37:04Z,,bug
daniel-stoneuk/material-about-library,28,Disable sound effects on items that has no onClick action,closed,2017-01-20T09:49:28Z,2017-01-20T18:01:54Z,bug
daniel-stoneuk/material-about-library,12,android.permission.CALL_PHONE,closed,2017-01-09T14:45:18Z,2017-01-09T15:13:51Z,bug
RefugeRestrooms/refugerestrooms-android,53,Cannot search a location (Android),closed,2017-07-07T21:33:21Z,2017-08-25T22:15:16Z,bug
JohnPersano/SuperToasts,88,I've got an error from android Kitkat 4.4.4,open,2016-09-01T08:07:19Z,,bug
JohnPersano/SuperToasts,58,can't show SuperToasts from BroadcastReceiver on lock screen,open,2014-11-07T18:00:34Z,,bug
JohnPersano/SuperToasts,45,SuperActivityToast now showing (and not clickable) occasionally ?,closed,2014-07-12T07:43:12Z,2016-07-17T22:57:04Z,bug
JohnPersano/SuperToasts,18,Button listeners buggy on devices API > 11 when trying to save state,closed,2014-01-10T20:32:26Z,2014-02-09T21:14:28Z,bug
JohnPersano/SuperToasts,16,SuperActivityToast/SuperCardToast crash onSaveInstanceState.,closed,2013-12-19T20:11:42Z,2013-12-28T20:04:06Z,bug
Tyde/TuCanMobile,72,"""Login Fehlerhaft"" bei Angabe korrekter Login-Daten",closed,2015-11-03T09:15:50Z,2016-02-13T10:47:23Z,bug
Tyde/TuCanMobile,67,RuntimeException bei SimpleSecureBrowser,closed,2014-11-21T10:18:38Z,2014-11-21T12:28:24Z,"bug, priority-high"
Tyde/TuCanMobile,52,Bewerbungsmodus erkennen und handlen,open,2013-08-21T14:47:52Z,,bug
Tyde/TuCanMobile,51,Bei screen rotation in login activity crash,closed,2013-01-17T09:22:42Z,2013-08-21T20:49:11Z,"bug, priority-high"
Tyde/TuCanMobile,50,Nach Logout kann wieder per Back button auf Das Hauptmenu zugegriffen werden,closed,2012-07-01T10:43:03Z,2014-11-19T23:46:01Z,"bug, priority-medium"
Tyde/TuCanMobile,48,NullPointer bei RegisterExams.java:98,closed,2012-06-01T12:20:03Z,2014-11-21T12:57:09Z,"bug, priority-medium"
Tyde/TuCanMobile,47,NullPointer bei RegisterExams.java:170,closed,2012-06-01T12:18:32Z,2012-06-02T21:39:00Z,"bug, priority-medium"
Tyde/TuCanMobile,46,Error at casting linkedlist to jsoup.node,closed,2012-06-01T12:12:22Z,2013-08-21T14:48:50Z,"bug, priority-low"
Tyde/TuCanMobile,45,NullPointer bei Messages:113,closed,2011-12-13T12:24:39Z,2014-11-21T12:57:28Z,"bug, priority-medium"
Tyde/TuCanMobile,43,VV:120 Bug bei Leerer liste,closed,2011-11-19T10:09:55Z,2011-11-19T10:20:36Z,"bug, priority-high"
Tyde/TuCanMobile,42,Crash bei anderer Materialanordnung,closed,2011-11-15T14:52:14Z,2011-11-15T14:52:39Z,"bug, priority-high"
Tyde/TuCanMobile,41,MainMenu:249 ArrayIndexOutOfBoundsException,closed,2011-11-09T21:50:02Z,2011-11-19T10:35:16Z,"bug, priority-high"
Tyde/TuCanMobile,38,TucanMobileActivity versucht schnell-login Methode bei abgelaufener session ,closed,2011-11-07T15:45:39Z,2012-05-26T10:45:14Z,"bug, priority-low"
Tyde/TuCanMobile,37,Spinner verliert beim drehen die values. ,closed,2011-11-07T15:43:41Z,2014-11-21T12:59:35Z,"bug, priority-medium"
Tyde/TuCanMobile,33,Crash bei MainMenu bei keiner Veranstaltung und <1 Messages,closed,2011-11-03T16:18:42Z,2011-11-03T16:21:17Z,"bug, priority-high"
Tyde/TuCanMobile,31,crash bei orientaion wechsel während des Ladevorgangs,closed,2011-11-01T13:39:30Z,2011-11-03T16:19:44Z,"bug, priority-high"
Tyde/TuCanMobile,30,login fehlerhaft bei android 2.1,closed,2011-10-31T17:12:14Z,2011-10-31T20:52:56Z,"bug, priority-critical"
Tyde/TuCanMobile,29,crash bei onresume bei session timeout bei einigen activities ,closed,2011-10-31T17:09:57Z,2011-10-31T20:56:55Z,"bug, priority-high"
Tyde/TuCanMobile,28,java.lang.ArrayIndexOutOfBoundsException in Schedule,closed,2011-10-31T09:37:56Z,2011-10-31T18:16:38Z,"bug, priority-medium"
Tyde/TuCanMobile,27,"Illegal ArgumentException at ""beim aufrufen des stundenplans...""",closed,2011-10-31T09:37:16Z,2011-10-31T09:45:46Z,"bug, priority-medium"
Tyde/TuCanMobile,25,"Crash bei klick auf ""Keine Heutigen Veranstaltungen"" in MainMenu",closed,2011-10-30T23:00:02Z,2011-10-30T23:03:57Z,"bug, priority-medium"
Tyde/TuCanMobile,13,"crash im MainMenu, wenn ungelesene Nachrichten da sind",closed,2011-10-23T17:28:40Z,2011-10-30T11:41:07Z,"bug, priority-critical"
Tyde/TuCanMobile,1,Service does not bind,closed,2011-10-04T22:18:23Z,2011-10-17T19:48:19Z,"bug, priority-critical"
CUNYTech/BudgetApp,57,User Creation - User Pictures,closed,2017-04-04T16:56:59Z,2017-04-11T02:21:07Z,"bug, enhancement"
CUNYTech/BudgetApp,55,Friend Scene - searchbar styling,closed,2017-04-04T16:54:04Z,2017-04-09T23:23:15Z,bug
CUNYTech/BudgetApp,54,Dashboard - Daily Points Section - *rethink*,closed,2017-04-04T16:52:56Z,2017-04-19T00:21:04Z,"bug, enhancement"
CUNYTech/BudgetApp,53,Points Scene - Functionalty,closed,2017-04-04T16:49:43Z,2017-04-08T21:57:34Z,bug
CUNYTech/BudgetApp,52,Dashboard Scene - Budget Section style,closed,2017-04-04T16:48:31Z,2017-04-09T06:52:47Z,bug
CUNYTech/BudgetApp,51,Dashboard Scene - goals section placeholders,closed,2017-04-04T16:43:22Z,2017-04-15T20:14:53Z,bug
CUNYTech/BudgetApp,50,Goal scene - style,closed,2017-04-04T16:42:01Z,2017-04-15T20:14:20Z,bug
CUNYTech/BudgetApp,48,Goals Scene - modal for saving towards a goal,closed,2017-04-04T16:39:40Z,2017-04-15T20:14:32Z,bug
fython/PackageTracker,66,[Bug] 信息经常反复提醒,open,2018-09-17T01:09:37Z,,bug
