repository,total_releases,failed_releases,change_failure_rate_percent
keybase/client,90,0,0.0
Turbo87/XCSoar-TE,10,0,0.0
supertuxkart/stk-code,10,3,30.0
Subsurface-divelog/subsurface,18,6,33.33
wikimedia/apps-android-wikipedia,1,0,0.0
drodin/Stratagus,7,0,0.0
csound/csound,20,9,45.0
cgeo/cgeo,128,0,0.0
dimagi/commcare-android,119,0,0.0
StoDevX/AAO-React-Native,52,33,63.46
cng1985/tasks,190,0,0.0
imaeses/k-9,149,0,0.0
OlivierGonthier/g3m,4,0,0.0
BDE-ESIEE/mobile,157,0,0.0
henrichg/PhoneProfilesPlus,106,2,1.89
embraceplus/android,56,0,0.0
,0,0,0.0
actorapp/actor-platform,97,0,0.0
zulip/zulip-mobile,132,51,38.64
zenorogue/hyperrogue,35,0,0.0
EasyRPG/Player,18,0,0.0
AntennaPod/AntennaPod,48,39,81.25
btcontract/wallet,5,0,0.0
kontalk/androidclient,65,59,90.77
SimpleMobileTools/Simple-Gallery,360,294,81.67
tutao/tutanota,223,0,0.0
pocl/pocl,30,3,10.0
uholeschak/ediabaslib,27,0,0.0
rsiebert/TVHClient,11,2,18.18
westnordost/StreetComplete,211,188,89.1
micwallace/visualvoicemail,1,0,0.0
ccomeaux/boardgamegeek4android,62,0,0.0
DeviceConnect/DeviceConnect-Android,25,0,0.0
kalemas/bibletime,15,0,0.0
commons-app/apps-android-commons,56,47,83.93
TeamAmaze/AmazeFileManager,63,42,66.67
UCSD/campus-mobile,44,11,25.0
RocketChat/Rocket.Chat.Android,44,41,93.18
danrien/projectBlue,8,0,0.0
00-Evan/shattered-pixel-dungeon,35,19,54.29
Neamar/KISS,76,46,60.53
SimpleMobileTools/Simple-Calendar,222,124,55.86
johnkil/Android-AppMsg,4,0,0.0
opengisch/QField,158,47,29.75
moneymanagerex/android-money-manager-ex,211,165,78.2
micolous/metrodroid,23,2,8.7
opacapp/opacclient,18,4,22.22
ccrama/Slide,25,21,84.0
HabitRPG/habitica-android,25,17,68.0
daneren2005/Subsonic,92,40,43.48
substratum/substratum,36,2,5.56
google/paco,1,0,0.0
WizardFactory/TodayWeather,55,0,0.0
yukuku/androidbible,23,0,0.0
M66B/NetGuard,137,0,0.0
mpcjanssen/simpletask-android,1,0,0.0
pockethub/PocketHub,1,0,0.0
henrichg/PhoneProfiles,60,0,0.0
DigitalCampus/oppia-mobile-android,30,0,0.0
mozilla-mobile/focus-android,250,212,84.8
predictive-technology-laboratory/sensus,213,48,22.54
Vavassor/Tusky,93,40,43.01
