repository,total_releases,failed_releases,change_failure_rate_percent,cfr_level
keybase/client,90,0,0.0,Elite
Turbo87/XCSoar-TE,10,0,0.0,Elite
supertuxkart/stk-code,10,3,30.0,High
Subsurface-divelog/subsurface,18,6,33.33,Medium
wikimedia/apps-android-wikipedia,1,0,0.0,Elite
drodin/Stratagus,7,0,0.0,Elite
csound/csound,20,9,45.0,Medium
cgeo/cgeo,128,0,0.0,Elite
dimagi/commcare-android,119,0,0.0,Elite
StoDevX/AAO-React-Native,52,33,63.46,Low
cng1985/tasks,190,0,0.0,Elite
imaeses/k-9,149,0,0.0,Elite
OlivierGonthier/g3m,4,0,0.0,Elite
BDE-ESIEE/mobile,157,0,0.0,Elite
henrichg/PhoneProfilesPlus,106,2,1.89,Elite
embraceplus/android,56,0,0.0,Elite
,0,0,0.0,Elite
actorapp/actor-platform,97,0,0.0,Elite
zulip/zulip-mobile,132,51,38.64,Medium
zenorogue/hyperrogue,35,0,0.0,Elite
EasyRPG/Player,18,0,0.0,Elite
AntennaPod/AntennaPod,48,39,81.25,Low
btcontract/wallet,5,0,0.0,Elite
kontalk/androidclient,65,59,90.77,Low
SimpleMobileTools/Simple-Gallery,360,294,81.67,Low
tutao/tutanota,223,0,0.0,Elite
pocl/pocl,30,3,10.0,Elite
uholeschak/ediabaslib,27,0,0.0,Elite
rsiebert/TVHClient,11,2,18.18,High
westnordost/StreetComplete,211,188,89.1,Low
micwallace/visualvoicemail,1,0,0.0,Elite
ccomeaux/boardgamegeek4android,62,0,0.0,Elite
DeviceConnect/DeviceConnect-Android,25,0,0.0,Elite
kalemas/bibletime,15,0,0.0,Elite
commons-app/apps-android-commons,56,47,83.93,Low
TeamAmaze/AmazeFileManager,63,42,66.67,Low
UCSD/campus-mobile,44,11,25.0,High
RocketChat/Rocket.Chat.Android,44,41,93.18,Low
danrien/projectBlue,8,0,0.0,Elite
00-Evan/shattered-pixel-dungeon,35,19,54.29,Low
Neamar/KISS,76,46,60.53,Low
SimpleMobileTools/Simple-Calendar,222,124,55.86,Low
johnkil/Android-AppMsg,4,0,0.0,Elite
opengisch/QField,158,47,29.75,High
moneymanagerex/android-money-manager-ex,211,165,78.2,Low
micolous/metrodroid,23,2,8.7,Elite
opacapp/opacclient,18,4,22.22,High
ccrama/Slide,25,21,84.0,Low
HabitRPG/habitica-android,25,17,68.0,Low
daneren2005/Subsonic,92,40,43.48,Medium
substratum/substratum,36,2,5.56,Elite
google/paco,1,0,0.0,Elite
WizardFactory/TodayWeather,55,0,0.0,Elite
yukuku/androidbible,23,0,0.0,Elite
M66B/NetGuard,137,0,0.0,Elite
mpcjanssen/simpletask-android,1,0,0.0,Elite
pockethub/PocketHub,1,0,0.0,Elite
henrichg/PhoneProfiles,60,0,0.0,Elite
DigitalCampus/oppia-mobile-android,30,0,0.0,Elite
mozilla-mobile/focus-android,250,212,84.8,Low
predictive-technology-laboratory/sensus,213,48,22.54,High
Vavassor/Tusky,93,40,43.01,Medium
sneerteam/sneer,10,0,0.0,Elite
charlesmadere/smash-ranks-android,56,0,0.0,Elite
osmdroid/osmdroid,27,13,48.15,Low
Samourai-Wallet/samourai-wallet-android,5,0,0.0,Elite
vanita5/twittnuker,28,13,46.43,Low
wellenvogel/avnav,2,1,50.0,Low
jonasoreland/runnerup,51,1,1.96,Elite
zoff99/ToxAndroidRefImpl,46,5,10.87,Elite
the-blue-alliance/the-blue-alliance-android,89,52,58.43,Low
slapperwan/gh4a,29,6,20.69,High
mono/SkiaSharp,85,29,34.12,Medium
quran/quran_android,51,0,0.0,Elite
jguerinet/MyMartlet,9,0,0.0,Elite
bosik/diacomp,11,6,54.55,Low
