repository,mttr_hours
00-Evan/shattered-pixel-dungeon,678.5544444444445
00091701/ADFC-NewsApp-Mono,923.1922222222222
0x1bad1d3a/Kaku,318.6777222222222
1gravity/Android-ContactPicker,136.22666666666666
24HeuresINSA/24h-android-app,131.89015151515153
2fast2fourier/something.apk,2707.1519444444443
42SK/TVKILL,24.02111111111111
42cc/p2psafety,103.15461111111111
452/USBHIDTerminal,4606.711527777778
75py/Aplin,8277.589747474747
75py/CallConfirm,11727.574583333333
75py/Download-Confirm,0.9466666666666667
75py/My-pkgs,137.0326388888889
8enet/AppOpsX,21.752777777777776
AIDEA775/UNCmorfi,2679.842777777778
APCVSRepo/hmi_sdk,18.253611111111113
AdamMc331/CashCaretaker,48.51277777777778
AdguardTeam/ContentBlocker,1211.0299377394638
Adventech/sabbath-school-android,1251.1447549019606
AfzalivE/AwakeDebug,97.20111111111112
Akusari/SD-Booster,1463.1991666666668
Alabaster-Aardvarks/traveller,32.23657407407407
AlbertoCejas/GermanLearningUCA,132.07537037037036
AlbrechtL/welle.io,6709.490894886363
AllanWang/Frost-for-Facebook,1557.3800969516594
AlleIT/Alleinfo_Android,1648.350586419753
AlstonLin/TheLearningLock,1201.7899652777778
Amab/SWADroid,290.5071527777778
AnaelMobilia/NextINpact-Unofficial,1385.5973554652212
AndlyticsProject/andlytics,1600.4285251322751
Andrano/Light,66.95805555555556
AndrewReitz/MagicLifeCounter,8731.160092592592
AndrewReitz/encrypted-camera,3765.197777777778
AnimeNeko/Atarashii,1617.5159455128205
AntennaPod/AntennaPod,3217.630080705706
AntonioRedondo/AnotherMonitor,8040.875555555555
Antox/Antox,2778.937760770975
Any1s/RBTV-Sendeplan,64.94303703703704
Apptitive/Ramadan,156.59138888888887
Archheretic/ParkingLotTrackerMobileApp,17.423703703703705
AsherGlick/Passcodes,1930.1136111111111
Ashish-Bansal/OneTapVideoDownload,5923.087083333334
Austin-Ray/Hexis,21.054166666666667
Azure-Samples/MyDriving,111.60576923076923
BackyardBrains/Spike-Recorder-Android,604.2803395061728
BandUp/band-up-android,82.74880952380953
BeamNG/remotecontrol,3396.402986111111
Bearded-Hen/Android-Bootstrap,2685.9688888888886
BenAlderfer/RIT-Dining-Planner-Android,36.153055555555554
BenoitDuffez/AndroidCupsPrint,5979.702673611111
Berlin-Vegan/berlin-vegan-guide,18989.426349206347
Bernie-2016/bernie-messenger-android,1.9819444444444445
BeyondAR/beyondar,1942.6711805555556
BijdorpStudio/UrlSetter,3325.19140625
BitPrepared/prbm-mobile,8410.400833333333
BloopApp/Bloop,17.074166666666667
BlunchDev/blunch_android,54.340731481481484
BramBonne/privacypolice,4202.707314814815
BuildmLearn/BuildmLearn-Toolkit-Android,970.155
BullshitPingu/Guide7,104.75060185185185
CINPLA/neuronify,1817.4807026143792
CODA-Masters/Little-Nibolas,115.87537037037038
CS-Worcester/TaskButler,42.14787037037037
CTC-CompTech/delivery,37.10955555555556
CUNYTech/BudgetApp,204.65055555555557
Calsign/APDE,8815.040694444446
CaptainSpam/geohashdroid,620.4925555555556
Centril/sleepfighter,147.07638888888889
ChaosLeong/FxcnBeta,72.46194444444444
ChaseBro/MMDAgent,194.57777777777778
ChristopherGittner/OSMBugs,4454.733888888889
CodeforChemnitz/TheaterWecker,0.08444444444444445
CoderCoop/nativePlantsChesapeake,113.94361111111111
Coffeeboys/RenewPass,1821.4958333333332
ColtanLabs/TapNote,1.826111111111111
CroceRossaItaliana/gaia-android,273.66305555555556
CytoDev/FrequencyCalculator,32.7437037037037
DHBWLoerrach/CampusApp,6473.869583333333
DHM47/Native-Clip-Board,2722.6744444444444
DamienOReilly/PrepayCredit,1246.3390277777778
DanielMartinus/Stepper-Touch,5050.772152777778
Daskiworks/ghwatch,365.2527681992337
David-Development/H-BRS-Android-Stundenplan,4.964444444444444
DaylightingSociety/WhereAreTheEyes,3073.1900000000005
De7vID/klingon-assistant,6625.266944444445
DecentralizedAmateurPagingNetwork/DAPNETApp,675.3209722222223
DenizUgur/ninegagsaver,2406.525
DerekMarcinyshyn/MMMFlashlight,1.6930555555555555
DevelopFreedom/logmein-android,60.67777777777778
DeveloperPaul123/FilePickerLibrary,2186.5930555555556
DevelopersGuild/rebel-invader,176.161875
Devlight/NavigationTabBar,102.33441358024692
DigitalCampus/oppia-mobile-android,3107.665516739447
Digitopia/Gamult,529.6499074074075
Digitopia/PORTOphone-app,534.2178661616161
Digutsoft/dMetronome,15.005277777777778
Dimezis/BlurView,4168.633148148148
Divendo/math-dragon,2333.00745014245
Djiko/trolly,1618.7037037037037
DreierF/MyTargets,1272.9369097222223
DroidKaigi/conference-app-2017,88.13756944444444
Drutol/MALClient,3394.342361111111
DylanVann/react-native-fast-image,1968.5238523391813
EasyRPG/Player,4000.425277777778
EdwardvanRaak/MaterialBarcodeScanner,7328.269722222222
ElectricDynamite/pasty-app-android,409.9779629629629
EmmanuelMess/Simple-Accounting,469.2188888888889
Esri/maps-app-android,2073.824154040404
EveningMoon/Balance,13.840555555555556
EyeSeeTea/uicapp,82.99222222222222
FabriceMk/android-mycv,368.61305555555555
FallenRiteMonk/ludus,59.277638888888895
FlyingPumba/SoundBox,468.23333333333335
Fmstrat/odm,814.0475
Fortyseven/ToneDef,10775.23962962963
Frainbow/sharecam.frb-android,413.83537037037036
FrancisG-Massey/Capstone2016,52.2364694041868
FraunhoferCESE/madcap,477.5097282608696
Frozen-Developers/android-periodic-table,0.3488888888888889
GAlexMES/MusicArchivist,26.803849206349206
Garthi/Running-Leaderboard,58.12833333333333
Geobert/radis,533.6060987654321
GimVic-app/gimvic-android,4215.775
Give2Peer/g2p-client-android,1413.367962962963
Grarak/KernelAdiutor,91.31152777777778
GrinnellAppDev/Grinnell-DB-Android-Old,8736.23861111111
GrinnellAppDev/KDIC-Radio-Android,404.9847222222222
GuacoIV/VisEQ,91.38712962962963
HRVBand/hrv-band,461.1288271604938
HabitRPG/habitica-android,3775.1193641048962
HochschuleHofStundenplanapp/AndroidStundenplanHof,4749.081338383839
