repository,mttr_build_hours,mttr_build_level
75py/Aplin,0.6402777777777777,Elite
Adventech/sabbath-school-android,325.603146354587,Low
AlbrechtL/welle.io,5444.709759259259,Low
BombusMod/BombusMod,873.0302777777778,Low
HabitRPG/habitica-android,51.66165921954125,Medium
Ifsttar/NoiseCapture,0.0442145593869731,Elite
ItsCalebJones/SpaceLaunchNow-Android,0.0031076388888888,Elite
Kaljurand/K6nele,0.0405555555555555,Elite
Kegbot/kegbot-android,0.0148263888888888,Elite
Kerooker/rpg-npc-generator,300.7525434027778,Low
Kiarasht/Space-Station-Tracker,0.044537037037037,Elite
KlubJagiellonski/pola-android,0.0022222222222222,Elite
Mini-Stren/MultiThemer,0.0431944444444444,Elite
Neamar/KISS,0.0235555555555555,Elite
NineWorlds/serenity-android,3.8011965811965807,High
OpenLauncherTeam/openlauncher,0.0016666666666666,Elite
PhenoApps/Coordinate,0.0798611111111111,Elite
PhenoApps/Field-Book,0.0122916666666666,Elite
Polidea/react-native-ble-plx,2619.593771367521,Low
QuantumBadger/RedReader,0.1343353174603174,Elite
Rouji/Hupl,0.0084920634920634,Elite
SaschaWillems/VulkanCapsViewer,3.562422586520947,High
SecUSo/privacy-friendly-passwordgenerator,0.1173765432098765,Elite
SecUSo/privacy-friendly-pedometer,0.051001291989664,Elite
SimonMarquis/FCM-toolbox,0.4096428571428571,Elite
StoDevX/AAO-React-Native,556.8738400046009,Low
Subsurface-divelog/subsurface,0.0074444444444444,Elite
TeamAmaze/AmazeFileManager,42.8240318627451,Medium
UCSD/campus-mobile,0.0151238738738738,Elite
UweTrottmann/wp-display-android,668.1998467432951,Low
VEINHORN/ScrollGalleryView,0.0216111111111111,Elite
VREMSoftwareDevelopment/WiFiAnalyzer,2.290178571428572,High
Vavassor/Tusky,1728.5002138888888,Low
WhisperSystems/Signal-Android,501.3778754125413,Low
Wilm0r/giggity,0.0,Elite
abrensch/brouter,0.0324707602339181,Elite
agersant/polaris-android,0.1041666666666666,Elite
alexvasilkov/GestureViews,0.0036111111111111,Elite
anthonycr/Lightning-Browser,0.0594007490636704,Elite
