repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours,availability_percent,bug_error_rate_pct,build_error_rate_pct,availability_level,bug_error_rate_level,build_error_rate_level,mtbf_level
keybase/client,57790.25,0.0,100.0,90,0,128,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
Turbo87/XCSoar-TE,6550.52,0.0,100.0,10,0,1,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
supertuxkart/stk-code,55529.2,55529.2,0.0,10,154,1309,56,15.4,0.042781,210,264.42,0.0,0.154,0.042781,Low,Low,Low,High
Subsurface-divelog/subsurface,21672.86,21672.86,0.0,18,230,19741,1996,12.777778,0.101109,2226,9.74,0.0,0.12777778,0.101109,Low,Low,Low,Low
drodin/Stratagus,17790.74,0.0,100.0,7,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
csound/csound,60546.24,60546.24,0.0,20,471,2811,434,23.55,0.154393,905,66.9,0.0,0.23550000000000001,0.154393,Low,Low,Low,Medium
cgeo/cgeo,78157.35,0.0,100.0,128,0,14499,1553,0.0,0.107111,1553,50.33,10000.0,0.0,0.107111,Elite,Elite,Low,Medium
dimagi/commcare-android,70528.61,0.0,100.0,119,0,2147,1425,0.0,0.663717,1425,49.49,10000.0,0.0,0.663717,Elite,Elite,Low,Medium
StoDevX/AAO-React-Native,40389.2,40389.2,0.0,52,249,7570,2136,4.788462,0.282166,2385,16.93,0.0,0.04788462,0.282166,Low,Low,Low,Low
cng1985/tasks,79428.46,0.0,100.0,190,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
imaeses/k-9,78580.51,0.0,100.0,149,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
OlivierGonthier/g3m,44591.42,0.0,100.0,4,0,0,0,0.0,0.0,0,,10000.0,0.0,0.0,Elite,Elite,Elite,
