repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours
keybase/client,57790.25,0.0,100.0,90,0,128,0,0.0,0.0,0,
Turbo87/XCSoar-TE,6550.52,0.0,100.0,10,0,1,0,0.0,0.0,0,
supertuxkart/stk-code,55529.2,55529.2,0.0,10,154,1309,56,15.4,0.042781,210,264.42
Subsurface-divelog/subsurface,21672.86,21672.86,0.0,18,230,19741,1996,12.777778,0.101109,2226,9.74
drodin/Stratagus,17790.74,0.0,100.0,7,0,0,0,0.0,0.0,0,
csound/csound,60546.24,60546.24,0.0,20,471,2811,434,23.55,0.154393,905,66.9
cgeo/cgeo,78157.35,0.0,100.0,128,0,14499,1553,0.0,0.107111,1553,50.33
dimagi/commcare-android,70528.61,0.0,100.0,119,0,2147,1425,0.0,0.663717,1425,49.49
StoDevX/AAO-React-Native,40389.2,40389.2,0.0,52,249,7570,2136,4.788462,0.282166,2385,16.93
cng1985/tasks,79428.46,0.0,100.0,190,0,0,0,0.0,0.0,0,
imaeses/k-9,78580.51,0.0,100.0,149,0,0,0,0.0,0.0,0,
OlivierGonthier/g3m,44591.42,0.0,100.0,4,0,0,0,0.0,0.0,0,
BDE-ESIEE/mobile,47812.97,0.0,100.0,157,0,0,0,0.0,0.0,0,
henrichg/PhoneProfilesPlus,67268.31,2945.01,95.622,106,11,15,0,0.103774,0.0,11,6115.3
embraceplus/android,51934.31,0.0,100.0,56,0,0,0,0.0,0.0,0,
actorapp/actor-platform,8013.44,0.0,100.0,97,0,0,0,0.0,0.0,0,
zulip/zulip-mobile,48594.39,48594.39,0.0,132,302,67,25,2.287879,0.373134,327,148.61
zenorogue/hyperrogue,59286.9,0.0,100.0,35,0,201,37,0.0,0.18408,37,1602.35
EasyRPG/Player,64993.78,12001.28,81.5347,18,20,926,87,1.111111,0.093952,107,607.42
AntennaPod/AntennaPod,75537.55,75537.55,0.0,48,1438,2085,328,29.958333,0.157314,1766,42.77
btcontract/wallet,4554.13,4554.13,0.0,5,7,0,0,1.4,0.0,7,650.59
kontalk/androidclient,51211.73,51211.73,0.0,65,635,0,0,9.769231,0.0,635,80.65
SimpleMobileTools/Simple-Gallery,57876.52,57876.52,0.0,360,514,0,0,1.427778,0.0,514,112.6
tutao/tutanota,46774.99,0.0,100.0,223,0,12577,2823,0.0,0.224457,2823,16.57
pocl/pocl,43801.58,43801.58,0.0,30,33,13729,1155,1.1,0.084128,1188,36.87
uholeschak/ediabaslib,50402.62,0.0,100.0,27,0,4034,11,0.0,0.002727,11,4582.06
rsiebert/TVHClient,48980.09,48980.09,0.0,11,131,0,0,11.909091,0.0,131,373.89
westnordost/StreetComplete,53205.46,53205.46,0.0,211,1008,1776,497,4.777251,0.279842,1505,35.35
ccomeaux/boardgamegeek4android,59586.98,20910.88,64.907,62,3,19,0,0.048387,0.0,3,19862.33
DeviceConnect/DeviceConnect-Android,43103.19,0.0,100.0,25,0,0,0,0.0,0.0,0,
kalemas/bibletime,56630.88,0.0,100.0,15,0,0,0,0.0,0.0,0,
commons-app/apps-android-commons,59545.83,59545.83,0.0,56,1129,2975,603,20.160714,0.202689,1732,34.38
TeamAmaze/AmazeFileManager,70325.75,70325.75,0.0,63,866,1456,245,13.746032,0.168269,1111,63.3
UCSD/campus-mobile,54028.48,54028.48,0.0,44,155,268,159,3.522727,0.593284,314,172.07
RocketChat/Rocket.Chat.Android,20020.02,20020.02,0.0,44,229,0,0,5.204545,0.0,229,87.42
danrien/projectBlue,61967.21,1404.73,97.7331,8,1,300,57,0.125,0.19,58,1068.4
00-Evan/shattered-pixel-dungeon,62783.41,62783.41,0.0,35,302,0,0,8.628571,0.0,302,207.89
Neamar/KISS,67157.89,67157.89,0.0,76,422,802,5,5.552632,0.006234,427,157.28
SimpleMobileTools/Simple-Calendar,57876.02,57876.02,0.0,222,344,0,0,1.54955,0.0,344,168.24
johnkil/Android-AppMsg,5507.52,0.0,100.0,4,0,0,0,0.0,0.0,0,
opengisch/QField,59753.78,59753.78,0.0,158,179,42535,2087,1.132911,0.049065,2266,26.37
